{'latitude': 40.6348233, 'longitude': -8.6602751, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.660275, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602748, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602747, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348235, 'longitude': -8.6602746, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602746, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602745, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602745, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602744, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348235, 'longitude': -8.6602744, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348235, 'longitude': -8.6602743, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348235, 'longitude': -8.6602743, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602743, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602743, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602742, 'heading': 194, 'speed': 0.3},
{'latitude': 40.6348234, 'longitude': -8.6602742, 'heading': 194, 'speed': 0.3},
